Model,Accuracy,F1-Score,Precision,Recall
Logistic Regression,0.5889775317486161,0.5779189407806669,0.5985169837775216,0.5889775317486161
SVM,0.5777434060566591,0.5573361348805271,0.5976186611522485,0.5777434060566591
Random Forest,0.5230380983393031,0.40439574392900246,0.693646969218728,0.5230380983393031
Naive Bayes,0.5608922175187235,0.5379622842187887,0.5890551598655032,0.5608922175187235
Neural Network,0.5512862259850212,0.5504216276327727,0.5525898326489567,0.5512862259850212
